name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 484,G,8.000294,26.665861,15.34,0.89
IC 485,G,8.005492,26.701444,15.33,1.17
IC 486,G,8.005828,26.613528,13.20,0.87
IC 487,Dup,7.985317,-0.637917,,
IC 488,Other,8.013753,25.901861,,
IC 489,*,8.027150,25.996389,,
IC 490,G,8.055589,25.811417,15.66,0.59
IC 491,G,8.065278,26.520611,15.30,0.65
IC 492,G,8.094072,26.168194,17.19,1.02
IC 493,G,8.124331,25.134028,14.76,0.81
IC 494,G,8.106700,1.036056,14.26,1.32
IC 495,G,8.138728,9.013889,15.49,0.47
IC 496,G,8.162267,25.881611,15.36,0.63
IC 497,G,8.168353,24.922083,14.26,0.78
IC 498,G,8.158408,5.280694,14.57,1.21
IC 499,G,8.754806,85.740028,13.83,1.88
IC 500,G,8.211000,-16.050806,,1.77
IC 501,G,8.313219,24.537417,15.51,0.73
IC 502,G,8.367669,8.752611,15.43,0.56
IC 503,G,8.369633,3.268056,14.10,1.33
IC 504,G,8.378111,4.262417,14.25,1.51
IC 505,G,8.389353,4.372472,14.57,1.38
IC 506,G,8.391869,4.299500,14.69,1.19
IC 507,Dup,8.417222,-0.591389,,
IC 508,G,8.472864,25.124722,14.71,0.79
IC 509,G,8.534306,24.010917,13.22,1.02
IC 510,GPair,8.536278,-2.162222,,0.80
IC 510 NED01,G,8.536164,-2.162111,,0.33
IC 510 NED02,G,8.536369,-2.162389,15.09,0.91
IC 511,G,8.680681,73.486667,14.43,1.22
IC 512,G,9.063842,85.501694,13.11,1.72
IC 513,G,8.551406,-12.355556,14.59,1.49
IC 514,G,8.589522,-2.047056,15.29,0.57
IC 515,G,8.592025,-1.901111,15.63,1.04
IC 516,G,8.597436,-1.871222,15.88,0.59
IC 517,G,8.606139,-2.055556,15.44,0.61
IC 518,Other,8.601931,0.692583,,
IC 519,G,8.676225,2.611333,15.39,0.50
IC 520,G,8.895072,73.490944,11.83,2.10
IC 521,G,8.778878,2.537417,14.75,0.93
IC 522,G,8.909697,57.166722,13.87,1.24
IC 523,G,8.886478,9.148167,14.99,0.86
IC 524,G,8.970231,-19.191917,15.07,0.94
IC 525,G,9.022908,-1.853972,15.02,0.95
IC 526,G,9.044661,10.841639,14.93,0.77
IC 527,G,9.161606,37.601583,14.72,1.37
IC 528,G,9.156264,15.796167,15.01,1.39
IC 529,G,9.309111,73.759333,12.30,3.21
IC 530,G,9.254714,11.885694,14.16,1.93
IC 531,G,9.297447,-0.278472,14.79,0.79
IC 532,Other,9.317711,-16.754944,,
IC 533,G,9.339833,-3.992028,15.72,0.95
IC 534,G,9.354292,3.151139,15.12,1.19
IC 535,G,9.371172,-1.040333,15.84,0.65
IC 536,G,9.411139,25.110194,15.09,1.09
IC 537,G,9.422947,-12.391778,14.15,1.32
IC 538,Dup,9.455142,23.020111,,
IC 539,G,9.485622,-2.549139,14.31,0.97
IC 540,G,9.502869,7.902750,14.69,1.07
IC 541,Other,9.508553,-4.253667,,
IC 542,G,9.518394,-13.181361,15.02,1.21
IC 543,Other,9.519194,-14.772500,,
IC 544,G,9.598161,24.894861,15.44,0.80
IC 545,G,9.601489,24.948944,14.79,0.56
IC 546,G,9.580622,-16.384417,14.83,1.27
IC 547,Dup,9.601608,-12.436722,,
